Name	ETHA	ISON	RIFM	RIFP	PYRA	STRE	CYCL	ETHI	PARA	AMIK	KANAM	CAPR	OFLO
G55552	1	2	2			2		1	1	1		1	1
G55553	1	1	1			1	1	1	1	1		1	1
G55554	2	2	2		2	2	2	2	1	1	2	1	1
G55555	1	1	1			1	1	1	1	1		1	1
G55556	2	2	2			2	1	2	1	2		2	2
G55557	2	2	2			2	2	1	2	1		1	1
G55558	2	2	2		2	2	2	2	1	2		2	2
G55559	2	2	2			2	2	2	1	2		2	1
G55560	2	2	2			2	1	1	1	1		1	2
G55561	1	1	1		1	1	1	1	1	1		1	1
G55565	2	2	2		2	2	1	1	1	1		1	2
G55566	2	2	2			2	1	1	1	2		1	2
